Giorno;Visualizzazioni di pagina;;;
9/22/23;339645;;;
9/23/23;346104;;;
9/24/23;166698;;;
9/25/23;120288;;;
9/26/23;170642;;;
9/27/23;165211;;;
9/28/23;145158;;;
9/29/23;228662;;;
9/30/23;547363;;;
10/1/23;137506;;;
10/2/23;90206;;;
10/3/23;90233;;;
10/4/23;128233;;;
10/5/23;152261;;;
10/6/23;138474;;;
10/7/23;292105;;;
10/8/23;213924;;;
10/9/23;412878;;;
10/10/23;513996;;;
10/11/23;361277;;;
10/12/23;255804;;;
10/13/23;214024;;;
10/14/23;341507;;;
10/15/23;188123;;;
10/16/23;119033;;;
10/17/23;208055;;;
10/18/23;282464;;;
10/19/23;224001;;;
10/20/23;357083;;;
10/21/23;183032;;;
10/22/23;161092;;;
10/23/23;146841;;;
10/24/23;145473;;;
10/25/23;130149;;;
10/26/23;121852;;;
10/27/23;155966;;;
10/28/23;342231;;;
10/29/23;115559;;;
10/30/23;107653;;;
10/31/23;390861;;;
11/1/23;231075;;;
11/2/23;265201;;;
11/3/23;335262;;;
11/4/23;408650;;;
11/5/23;316009;;;
11/6/23;124864;;;
11/7/23;377274;;;
11/8/23;276349;;;
11/9/23;244184;;;
11/10/23;264692;;;
11/11/23;231581;;;
11/12/23;220833;;;
11/13/23;172566;;;
11/14/23;170123;;;
11/15/23;156068;;;
11/16/23;144058;;;
11/17/23;161681;;;
11/18/23;145177;;;
11/19/23;96158;;;
11/20/23;100451;;;
11/21/23;300505;;;
11/22/23;185911;;;
11/23/23;155166;;;
11/24/23;152572;;;
11/25/23;144618;;;
11/26/23;246885;;;
11/27/23;170139;;;
11/28/23;191791;;;
11/29/23;98757;;;
11/30/23;142248;;;
12/1/23;266623;;;
12/2/23;188895;;;
12/3/23;197026;;;
12/4/23;208091;;;
12/5/23;381035;;;
12/6/23;253910;;;
12/7/23;219983;;;
12/8/23;284257;;;
12/9/23;104725;;;
12/10/23;120585;;;
12/11/23;114951;;;
12/12/23;119544;;;
12/13/23;143972;;;
12/14/23;146505;;;
12/15/23;151087;;;
12/16/23;176379;;;
12/17/23;160098;;;
12/18/23;188919;;;
12/19/23;200426;;;
12/20/23;130613;;;
12/21/23;293335;;;
12/22/23;249288;;;
12/23/23;294148;;;
12/24/23;296941;;;
12/25/23;383615;;;
12/26/23;252778;;;
12/27/23;140658;;;
12/28/23;104882;;;
12/29/23;185331;;;
12/30/23;275877;;;
12/31/23;748508;;;
;69933448;;;
